album of the year,Henry Mancini,The Music from Peter Gunn,1959
album of the year,Frank Sinatra,Come Dance with Me!,1960
album of the year,Bob Newhart,The Button-Down Mind of Bob Newhart,1961
album of the year,Judy Garland,Judy at Carnegie Hall,1962
album of the year,Vaughn Meader,The First Family,1963
album of the year,Barbra Streisand,The Barbra Streisand Album,1964
album of the year,Stan Getz & João Gilberto,Getz/Gilberto,1965
album of the year,Frank Sinatra,September of My Years,1966
album of the year,Frank Sinatra,A Man and His Music,1967
album of the year,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,1968
album of the year,Glen Campbell,By the Time I Get to Phoenix,1969
album of the year,"Blood, Sweat & Tears","Blood, Sweat & Tears",1970
album of the year,Simon & Garfunkel,Bridge over Troubled Water,1971
album of the year,Carole King,Tapestry,1972
album of the year,George Harrison & Friends,The Concert for Bangladesh,1973
album of the year,Stevie Wonder,Innervisions,1974
album of the year,Stevie Wonder,Fulfillingness' First Finale,1975
album of the year,Paul Simon,Still Crazy After All These Years,1976
album of the year,Stevie Wonder,Songs in the Key of Life,1977
album of the year,Fleetwood Mac,Rumours,1978
album of the year,Bee Gees and Various artists,Saturday Night Fever: The Original Movie Sound Track,1979
album of the year,Billy Joel,52nd Street,1980
album of the year,Christopher Cross,Christopher Cross,1981
album of the year,John Lennon & Yoko Ono,Double Fantasy,1982
album of the year,Toto,Toto IV,1983
album of the year,Michael Jackson,Thriller,1984
album of the year,Lionel Richie,Can't Slow Down,1985
album of the year,Phil Collins,No Jacket Required,1986
album of the year,Paul Simon,Graceland,1987
album of the year,U2,The Joshua Tree,1988
album of the year,George Michael,Faith,1989
album of the year,Bonnie Raitt,Nick of Time,1990
album of the year,Quincy Jones and various artists,Back on the Block,1991
album of the year,Natalie Cole,Unforgettable... with Love,1992
album of the year,Eric Clapton,Unplugged,1993
album of the year,Whitney Houston,The Bodyguard: Original Soundtrack Album,1994
album of the year,Tony Bennett,MTV Unplugged,1995
album of the year,Alanis Morissette,Jagged Little Pill,1996
album of the year,Celine Dion,Falling into You,1997
album of the year,Bob Dylan,Time out of Mind,1998
album of the year,Lauryn Hill,The Miseducation of Lauryn Hill,1999
album of the year,Santana,Supernatural,2000
album of the year,Steely Dan ,Two Against Nature,2001
album of the year,Various artists,"O Brother, Where Art Thou? soundtrack",2002
album of the year,Norah Jones,Come Away with Me,2003
album of the year,OutKast,Speakerboxxx/The Love Below,2004
album of the year,Ray Charles,Genius Loves Company,2005
album of the year,U2,How to Dismantle an Atomic Bomb,2006
album of the year,Dixie Chicks,Taking the Long Way,2007
album of the year,Herbie Hancock,River: The Joni Letters,2008
album of the year,Robert Plant & Alison Krauss,Raising Sand,2009
album of the year,Taylor Swift,Fearless,2010
album of the year,Arcade Fire,The Suburbs,2011
album of the year,Adele,21,2012
album of the year,Mumford & Sons,Babel,2013
album of the year,Daft Punk,Random Access Memories,2014
album of the year,Beck,Morning Phase,2015
album of the year,Taylor Swift,1989,2016
album of the year,Adele,25,2017
